"id","fqdn/ip","port","severity","finding","cve","cwe"
"DROWN_hint","connect.gouv.nc/61.5.212.17","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=E190D9B8ED01CABF9D4D84A728436DC885179AC29A49B2A6C8CFCB63BE7D0199","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","connect.gouv.nc/61.5.212.17","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","connect.gouv.nc/61.5.212.17","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_X","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_11","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_12","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_79_win10","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_101_win10","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_66_win81","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_100_win10","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_6_xp","connect.gouv.nc/61.5.212.17","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","connect.gouv.nc/61.5.212.17","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","connect.gouv.nc/61.5.212.17","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","connect.gouv.nc/61.5.212.17","443","INFO","No connection","",""
"clientsimulation-ie_11_win81","connect.gouv.nc/61.5.212.17","443","INFO","No connection","",""
"clientsimulation-ie_11_winphone81","connect.gouv.nc/61.5.212.17","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
